statusType,nID,strSourceName,strStorageName,strTagName,intervalType,nInterval,aggregateType,tmBegin,tmEnd,aggregateLength,aggregateTime,bUpdate,strTableName,strValueCol,strTimeStampCol,strQualityCol,strTagNameCol,strAggregateCol,strCustomCol1,strCustomValue1,strTagNameSql,tkType,wtType
0,50,test,SQL,\采集站1\XK\YX1COM31N13W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N13W,Time,,,,,,,0,0
0,51,test,SQL,\采集站1\XK\YX1COM31N09AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09AC,Time,,,,,,,0,0
0,52,test,SQL,\采集站1\XK\YX1COM31N09AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09AV,Time,,,,,,,0,0
0,53,test,SQL,\采集站1\XK\YX1COM31N09CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09CC,Time,,,,,,,0,0
0,54,test,SQL,\采集站1\XK\YX1COM31N09COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09COS,Time,,,,,,,0,0
0,55,test,SQL,\采集站1\XK\YX1COM31N09CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09CV,Time,,,,,,,0,0
0,56,test,SQL,\采集站1\XK\YX1COM31N09P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09P,Time,,,,,,,0,0
0,57,test,SQL,\采集站1\XK\YX1COM31N09W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N09W,Time,,,,,,,0,0
0,58,test,SQL,\采集站1\XK\YX1COM31N07AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07AC,Time,,,,,,,0,0
0,59,test,SQL,\采集站1\XK\YX1COM31N07AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07AV,Time,,,,,,,0,0
0,60,test,SQL,\采集站1\XK\YX1COM31N07CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07CC,Time,,,,,,,0,0
0,61,test,SQL,\采集站1\XK\YX1COM31N07COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07COS,Time,,,,,,,0,0
0,62,test,SQL,\采集站1\XK\YX1COM31N07CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07CV,Time,,,,,,,0,0
0,63,test,SQL,\采集站1\XK\YX1COM31N07P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07P,Time,,,,,,,0,0
0,64,test,SQL,\采集站1\XK\YX1COM31N07W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N07W,Time,,,,,,,0,0
0,65,test,SQL,\采集站1\XK\YX1COM31N05AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05AC,Time,,,,,,,0,0
0,66,test,SQL,\采集站1\XK\YX1COM31N05AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05AV,Time,,,,,,,0,0
0,67,test,SQL,\采集站1\XK\YX1COM31N05CC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05CC,Time,,,,,,,0,0
0,68,test,SQL,\采集站1\XK\YX1COM31N05COS,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05COS,Time,,,,,,,0,0
0,69,test,SQL,\采集站1\XK\YX1COM31N05CV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05CV,Time,,,,,,,0,0
0,70,test,SQL,\采集站1\XK\YX1COM31N05P,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05P,Time,,,,,,,0,0
0,71,test,SQL,\采集站1\XK\YX1COM31N05W,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N05W,Time,,,,,,,0,0
0,72,test,SQL,\采集站1\XK\YX1COM31N03AC,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03AC,Time,,,,,,,0,0
0,73,test,SQL,\采集站1\XK\YX1COM31N03AV,1,15,0,1398096000,2114352000,0,0,0,GKXK,gkps_\采集站1\XK\YX1COM31N03AV,Time,,,,,,,0,0
