Station:,NewSta1
Sixlog Tag Name:,/nvram/datalog/sjjl_wrz_11.6dl
Time,Modbus_123_OK,Modbus_124_OK,Self_Heartbeat,Self_Active,Self_Backup,Other_Heartbeat,Other_Active,Other_Status,Self_Status,Redundancy_Role,PT_101_FO,TT_101_FO,PdT_201_FO,PdT_202_FO,PdT_203_FO,PT_304_FO,PT_301_FO,PT_302_FO,PT_303_FO,TT_301_FO,TT_302_FO,TT_303_FO,TT_401_FO,PT_401_FO,V1_01_FK1_FO,V1_01_FK2_FO,PIC_401_FO,PT_01_FO,PT_02_FO,PT_03_FO,PIC_401_SD_FO,LLJ1_1_FO,LLJ1_2_FO,LLJ1_3_FO,LLJ1_4_FO,LLJ1_5_FO,LLJ1_6_FO,LLJ2_1_FO,LLJ2_2_FO,LLJ2_3_FO,LLJ2_4_FO,LLJ2_5_FO,LLJ2_6_FO,LLJ3_1_FO,LLJ3_2_FO,LLJ3_3_FO,LLJ3_4_FO,LLJ3_5_FO,LLJ3_6_FO,PIC_401_SP_LL,PIC_401_SP_YL,PIC_401_P1,PIC_401_I1,PIC_401_D1,PIC_401_OUT,WSD_SD_FO,WSD_WD_FO,QTBJ_LD1_FO,QTBJ_LD2_FO,QTBJ_LD3_FO,UPS_SRDY_FO,UPS_SCDY_FO,UPS_DCDY_FO,PT_SYYL,PT_XYYL,SIXLOG Record Number,SIXLOG Timestamp
2014/08/18   10:29:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.5560,0.0000,0.2655,0.2808,1.3945,0.0087,0.3746,0.3754,25.9465,24.9883,12.1674,13.3363,0.3747,0.0000,0.0000,22.2602,0.0000,2.2620,0.3594,0.0000,961.0000,11300.0000,108.5430,25.2700,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.4000,24.9000,0.0000,0.0000,0.0000,229.8000,220.2000,218.7000,0.0000,0.0000,10,1408328959
2014/08/18   10:41:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.5254,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3754,26.2792,25.2660,12.1979,13.3851,0.3747,0.0000,0.0000,22.2510,0.0000,2.2499,0.3585,0.0000,961.0000,11300.0000,108.6520,25.6500,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,24.9000,0.0000,0.0000,0.0000,230.6000,219.8000,218.7000,0.0000,0.0000,11,1408329679
2014/08/18   10:42:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4980,0.0000,0.2655,0.2808,1.3941,0.0089,0.3746,0.3753,26.3097,25.2934,12.1979,13.3546,0.3747,0.0000,0.0000,22.2510,0.0000,2.2488,0.3585,0.0000,961.0000,11300.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,230.6000,218.8000,218.7000,0.0000,0.0000,12,1408329739
2014/08/18   10:43:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4980,0.0000,0.2655,0.2991,1.3941,0.0089,0.3746,0.3753,26.3463,25.3240,12.2071,13.3546,0.3746,0.0000,0.0000,22.2510,0.0000,2.2477,0.3584,0.0000,961.0000,11300.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,231.2000,219.6000,218.7000,0.0000,0.0000,13,1408329799
2014/08/18   10:44:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.4980,0.0000,0.2655,0.2899,1.3945,0.0089,0.3744,0.3753,26.3860,25.3423,12.2071,13.3546,0.3747,0.0000,0.0000,22.2602,0.0000,2.2464,0.3583,0.0000,961.0000,11300.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.1000,24.9000,0.0000,0.0000,0.0000,229.2000,219.6000,218.7000,0.0000,0.0000,14,1408329859
2014/08/18   10:45:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.5071,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3753,26.4135,25.3697,12.2071,13.4126,0.3747,0.0000,0.0000,22.2510,0.0000,2.2453,0.3581,0.0000,1066085120.0000,1104029952.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.9000,25.0000,0.0000,0.0000,0.0000,228.2000,219.8000,218.7000,0.0000,0.0000,15,1408329919
2014/08/18   10:46:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.4675,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3753,26.4531,25.4003,12.1979,13.4126,0.3747,0.0000,0.0000,22.2602,0.0000,2.2448,0.3580,0.0000,961.0000,11300.0000,108.7250,25.8200,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.1000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,16,1408329979
2014/08/18   10:47:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4797,0.0000,0.2655,0.2991,1.3945,0.0089,0.3746,0.3753,26.4806,25.4277,12.2163,13.4034,0.3746,0.0000,0.0000,22.2602,0.0000,2.2431,0.3580,0.0000,961.0000,11300.0000,108.7250,25.8700,1.0872,25.8700,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.0000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,17,1408330039
2014/08/18   10:48:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4797,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3753,26.5172,25.4460,12.2163,13.4034,0.3746,0.0000,0.0000,22.2602,0.0000,2.2426,0.3579,0.0000,1066091264.0000,1104092800.0000,108.7250,25.8700,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.6000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,18,1408330099
2014/08/18   10:49:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4675,0.0000,0.2747,0.2991,1.3945,0.0089,0.3746,0.3753,26.5569,25.4857,12.2254,13.4217,0.3746,0.0000,0.0000,22.2602,0.0000,2.2413,0.3579,0.0000,1066091264.0000,1104092800.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,19,1408330159
